ID_evento,ID_conversacion,evento,texto,fecha,hora
0,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,puedo ir a pasear mi perro,25-3-2020,17:16:57
1,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Se puede sacar a pasear a las mascotas minimizando el tiempo de paseo y el contacto con otras personas. Durante el paseo hay que evitar plazas y parques, y mantenerse en lugares de cercanía a la residencia. Si el dueño del animal debe cumplir aislamiento preventivo, se debe coordinar con alguien que pueda sacar a la mascota.",25-3-2020,17:16:57
2,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,como sé si tengo el coronavirus,25-3-2020,17:17:23
3,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Los síntomas del coronavirus COVID-19 generalmente incluyen fiebre y tos similares a la gripe común. Si usted o alguien que conoce está experimentando esos síntomas o sospecha que puede estar infectado, Córdoba tiene su 0800 para consultas por Coronavirus que es 0800 1221 444. Esta línea es del Ministerio de Salud de Córdoba y está pensada para consultar por síntomas, para pedir asistencia, y para que equipos de salud den aviso sobre casos sospechosos.",25-3-2020,17:17:23
4,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,Puedo ir a visitar otra gente?,25-3-2020,17:18:4
5,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"La obligatoriedad del aislamiento implica que su incumplimiento tiene consecuencias. 
En la calle circulan oficiales que están controlando la circulación tanto de peatones como de autos. En caso de no pertenecer a ninguno de los grupos de exceptuados, se le pedirá que regrese a su domicilio y si se resiste podrá ser detenido y secuestrado el auto. 
Lo que se busca es evitar la circulación de gente (salvo los casos excepcionales) para frenar la circulación del virus. Por esta razón, ir a visitar un vecino rompe efectivamente el aislamiento obligatorio. Invitar a un amigx rompe el aislamiento obligatorio. Ir a la plaza, también. 
El Ministro de Seguridad de la Provincia de Córdoba, Adolfo Mosquera, dijo al respecto:Voy a ser categórico, el que no pueda explicar porqué está en la calle, será detenido. 
Para evitar ser detenido y en caso de salir justificadamente, hay que llevar toda la documentación para establecer que está dentro de las excepciones. 
Para salir a comprar cosas, tiene que ser en lugares de cercanía. 
En cualquier caso, quien deba atender situaciones de urgencia queda exceptuado de las medidas de aislamiento obligatorio.",25-3-2020,17:18:4
6,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,puedo ir al supermercado?,25-3-2020,17:18:25
7,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Disculpame, pero no te entendí. 🤷 Probar de nuevo?",25-3-2020,17:18:25
8,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,están abierto los supermercados?,25-3-2020,17:18:39
9,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Disculpame, pero no te entendí. 🤷 Probar de nuevo?",25-3-2020,17:18:39
10,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,puedo ir al super?,25-3-2020,17:18:47
11,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Perdón, no sé si entendí correctamente 🤔 Tu intención es de decir...",25-3-2020,17:18:47
12,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,Puedo ir al supermercado a hacer las compras,25-3-2020,17:19:32
13,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,Puedo ir al supermercado a hacer las compras,25-3-2020,17:19:32
14,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Disculpame, pero no te entendí. 🤷 Probar de nuevo?",25-3-2020,17:19:32
15,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,cómo hago si tengo que visitar a mi abuela?,25-3-2020,17:21:46
16,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Las personas que necesiten circular porque tienen familiares a cargo forman parte del grupo de exceptuados a las medidas de aislamiento obligatorio. Esto contempla a quienes deban asistir a personas con discapacidad; familiares que necesiten asistencia; personas mayores; niños, niñas y adolescentes. Esto no significa que los hijos de padres separados puedan ir de casa en casa. En Córdoba las medidas no habilitan el cumplimiento de los regímenes de contacto, tal como se desarrollan habitualmente. En los casos de cuidado personal alternado (cuando los niños están mitad del tiempo con cada progenitor), la persona asistida deberá permanecer en el domicilio donde estaba al comienzo del aislamiento.",25-3-2020,17:21:46
17,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,adios,25-3-2020,17:25:31
18,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,Hacer click en el botón abajo si querés reiniciar tu sesión.,25-3-2020,17:25:32
19,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,/restart,25-3-2020,17:25:35
20,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,Se reinició el chat.,25-3-2020,17:25:35
21,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,el correo esta abierto hoy,25-3-2020,17:25:37
22,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Perdón, no sé si entendí correctamente 🤔 Tu intención es de decir...",25-3-2020,17:25:37
23,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,/ask_correo{},25-3-2020,17:25:43
24,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,/ask_correo{},25-3-2020,17:25:43
25,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Todas las sucursales de correos argentinos dedicarán sus 2 (DOS) primeras horas de servicio exclusivamente a la atención de personas mayores de 60 años y aquellas que integren los grupos de riesgo, no pudiendo ingresar después de dicho horario. Los demás clientes contarán con nuestra atención durante el resto de la jornada.",25-3-2020,17:25:43
26,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,el correo esta abierto hoy,25-3-2020,17:25:45
27,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Perdón, no sé si entendí correctamente 🤔 Tu intención es de decir...",25-3-2020,17:25:45
28,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,/ask_correo{},25-3-2020,17:25:47
29,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,/ask_correo{},25-3-2020,17:25:47
30,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Todas las sucursales de correos argentinos dedicarán sus 2 (DOS) primeras horas de servicio exclusivamente a la atención de personas mayores de 60 años y aquellas que integren los grupos de riesgo, no pudiendo ingresar después de dicho horario. Los demás clientes contarán con nuestra atención durante el resto de la jornada.",25-3-2020,17:25:47
31,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,el correo esta abierto hoy???,25-3-2020,17:26:23
32,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Perdón, no sé si entendí correctamente 🤔 Tu intención es de decir...",25-3-2020,17:26:23
33,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,estan abierto los pago facil,25-3-2020,17:26:46
34,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,estan abierto los pago facil,25-3-2020,17:26:46
35,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"La mayoría de los sucursales de rapipago y pagofacil están trabajando en sus horarios normales, aunque aceptan solamente débito como medio de pago.",25-3-2020,17:26:46
36,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,cómo hago si tengo que visitar a mi abuela?,25-3-2020,17:27:1
37,dd9419e4-e2ce-41ff-a873-45ee155b7332,bot,"Las personas que necesiten circular porque tienen familiares a cargo forman parte del grupo de exceptuados a las medidas de aislamiento obligatorio. Esto contempla a quienes deban asistir a personas con discapacidad; familiares que necesiten asistencia; personas mayores; niños, niñas y adolescentes. Esto no significa que los hijos de padres separados puedan ir de casa en casa. En Córdoba las medidas no habilitan el cumplimiento de los regímenes de contacto, tal como se desarrollan habitualmente. En los casos de cuidado personal alternado (cuando los niños están mitad del tiempo con cada progenitor), la persona asistida deberá permanecer en el domicilio donde estaba al comienzo del aislamiento.",25-3-2020,17:27:1
38,dd9419e4-e2ce-41ff-a873-45ee155b7332,user,puedo ir al supermercado?,25-3-2020,17:27:18
